id,sourceId,title,author,difficulty,popularity,about,startRow,startCol,startDirection,allowedCommands,slotsPerFunction,rows
catalog-195,195,Another speed control,evko,3,158,,11,0,right,1,"[7, 4, 4, 0, 0]","["" bbbbbbbbbbb"", "" b         b"", "" b bbbbbbb b"", "" b b     b b"", "" b b bbb b b"", "" b b B b b b"", "" b b   b b b"", "" b bbbbb b b"", "" b       b b"", "" bbbbbbbbb b"", ""           b"", ""bbbbbbbbbbbr""]"
catalog-53,53,Branches,igoro,4,135,,10,1,right,0,"[5, 5, 5, 0, 0]","[""         G    "", ""Grbbbbbbbr    "", "" b       b    "", "" G    G  b    "", ""      b  b    "", ""   Gbbr  b  G "", ""      b  b Gr "", ""   G  b  b  b "", ""   b  b  b  b "", ""   b  b  b  b "", "" bbrbbrbbrbbrG""]"
catalog-654,654,Linked List,snydej,4,131,,1,0,right,0,"[5, 5, 5, 5, 0]","[""R             "", ""gBBBG         "", ""GBBBBBG       "", ""G             "", ""GBG           "", ""G             "", ""GBBBBBBBBG    "", ""G             "", ""GBBBBBBBBBBBBB"", ""GBBBBBBBBBBG  "", ""GBBBBBBBG     "", ""GBBBBBBBBBG   ""]"
catalog-189,189,Cherry Picking,recursive,4,130,Avoid the pits! ... such a great pun ...,11,0,up,0,"[5, 6, 8, 3, 0]","[""GGGGGGGGGGGGGGGG"", ""bbbbbbbbBbbbbbbb"", ""bbbBbBbb bbbbBbb"", ""bbb b bbRbBbb bb"", ""bBbRbRBbbb bBRbb"", ""b bbBb bbBRb bbb"", ""bRbb bRbb bbRbBb"", ""bbBbRbbbbRbBbb b"", ""bb bbbBbbbb bbRb"", ""bbRbbb bbbbRbbbb"", ""bbbbbbRbbbbbbbbb"", ""bBBBBBBBBBBBBBBB""]"
catalog-162,162,"""960"" on blue",evko,4,120,,0,0,right,0,"[5, 4, 3, 3, 0]","[""gggbgrgggrgrggr"", ""ggggggggggggggg"", ""bggggggggrggggg"", ""ggggggggggggggg"", ""bggbgrggggggggr"", ""           b   "", ""BBBBbBBBBBbBBBB"", ""BbbBbBbbbbbBbbB"", ""BBBBbBBBBBbBbbB"", ""bbbBbBbbbBbBbbB"", ""BBBBbBBBBBbBBBB""]"
catalog-328,328,Replication Engine,snydej,4,120,,10,1,right,5,"[4, 10, 5, 3, 0]","["" GGGGGGGGGGGGGGG"", "" B   G   G   G  "", "" B   G   G   G  "", ""RBR GGG GGG GGG "", ""BRR GGG GGG GGG "", ""B   G   G   G   "", ""BRR GGG GGG GGG "", ""RBR GGG GGG GGG "", ""BRR GGG GGG GGG "", ""B   G   G   G   "", ""BgR GGG GGG GGG "", ""RBR GGG GGG GGG ""]"
catalog-212,212,Parity Checker II,snydej,3,111,a little harder than the first,0,0,right,0,"[7, 9, 7, 0, 0]","[""rbbbrrbrrbbbrbbb"", ""bbbbrbbGbrbrbbbr"", ""brbbrrbGbGbbrbbr"", ""brrbrbr bGbbGrbr"", ""bbrbbrb r br rrb"", ""bbrbbrr b bb rGr"", ""bbGbGrb r bG bGr"", ""bbGb br G b  b r"", ""GG b Gb G b  r b"", ""G  G Gr   G  G r"", ""      b        G"", ""      G        G""]"
catalog-500,500,Movable paint,rainault,3,333,,9,4,right,6,"[3, 4, 0, 0, 0]","[""   B    "", ""   b    "", ""gbbg    "", ""bgbbbbbg"", ""bb b   b"", ""gbbgbgbb"", "" gbb b b"", ""   gbbbg"", ""     b  "", ""    bg  ""]"
catalog-392,392,2-Bit Instructions,shahbawany,3,327,,6,7,right,0,"[4, 3, 5, 0, 0]","[""rgbbbbbbbbbbbr"", ""b            g"", ""b         g  b"", ""b rgbgbgg g  b"", ""b b  r    b  b"", ""b b  b    b  b"", ""b r  b bbgr  b"", ""bBg  b    b  b"", ""b    b    g  b"", ""b    b    rbgr"", ""g    b        "", ""rbbbgr        ""]"
catalog-352,352,Both Directions,snydej,4,108,Only 2 stars to collect; it can't be that hard.,3,7,up,0,"[5, 6, 0, 0, 0]","[""    rbbbbbbbbbr"", ""    b         b"", ""    b  rbbr B b"", ""rbr b  g  b rbr"", ""b B rbbr  b    "", ""b         b    "", ""rbbbbbbbbbr    ""]"
